market,long profit,short profit,long wins,short wins,long losses,short losses,long uptrend size,long downtrend size,short uptrend size,short downtrend size,risk ratio tp,risk ratio sl,timeframe,long winrate,short winrate,method,date start,date end
BTCUSDT,0,3.8798962412724247,0,4,0,12,0,0,0,0,5.0,2.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-13.192304960858447,0,3,0,1,0,0,0,0,5.0,2.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.6508688690535471,0,0,0,1,0,0,0,0,5.0,2.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,5.0,2.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,4.511741145460924,0,5,0,11,0,0,0,0,5.0,2.5,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-12.462521730567689,0,3,0,1,0,0,0,0,5.0,2.5,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.0550703942047273,0,0,0,1,0,0,0,0,5.0,2.5,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,5.0,2.5,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-1.1669685361926387,0,7,0,9,0,0,0,0,5.0,3.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-11.743686195660144,0,3,0,1,0,0,0,0,5.0,3.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,2.4559496349243912,0,0,0,1,0,0,0,0,5.0,3.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,5.0,3.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.6003816122190075,0,3,0,13,0,0,0,0,5.5,1.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-10.093813897768534,0,1,0,3,0,0,0,0,5.5,1.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0.8323323844372843,0,0,0,1,0,0,0,0,5.5,1.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,5.5,1.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0.612417641661151,0,4,0,12,0,0,0,0,5.5,1.5,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-8.869036183930708,0,1,0,3,0,0,0,0,5.5,1.5,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.2433035875014804,0,0,0,1,0,0,0,0,5.5,1.5,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,5.5,1.5,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,3.2171576711997414,0,4,0,12,0,0,0,0,5.5,2.0,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-12.876884187217836,0,2,0,1,0,0,0,0,5.5,2.0,1h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,1.6508688690535471,0,0,0,1,0,0,0,0,5.5,2.0,4h,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,0,0,0,0,0,0,0,0,0,5.5,2.0,1d,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,3.7181562071854524,0,5,0,11,0,0,0,0,5.5,2.5,15m,0,0,1,5 May 2013,17 June 2021
BTCUSDT,0,-12.14710095692708,0,2,0,1,0,0,0,0,5.5,2.5,1h,0,0,1,5 May 2013,17 June 2021
